49,15,34,31,63,
37,44,53,18,13,
23,43,84,21,62,
75,49,25,13,27,
84,10,77,7,34,
81,15,46,22,52,
59,82,75,72,29,
12,48,89,66,45,
7,12,25,59,48,
38,67,70,55,39,
44,68,45,15,12,
52,84,57,27,23,
28,45,26,87,73,
79,49,66,15,32,
83,58,62,67,22,
79,6,85,67,27,
89,65,53,28,51,
15,29,53,18,74,
22,88,16,3,24,
39,55,88,59,52,
8,71,17,67,83,
27,45,20,79,87,
12,39,86,81,24,
63,86,72,7,52,
77,15,78,33,81,
5,75,38,32,36,
12,38,83,82,17,
43,15,35,63,22,
35,79,6,3,52,
16,2,30,59,47,
84,49,69,13,88,
66,18,82,26,59,
25,16,49,10,23,
85,14,2,26,19,
12,58,53,14,15,
59,72,24,28,14,
22,44,24,67,73,
3,64,88,82,34,
76,38,25,95,29,
79,84,15,75,66,
72,32,39,75,26,
9,77,42,29,16,
82,79,2,53,29,
28,21,13,25,88,
32,75,1,27,22,
64,15,8,82,39,
48,63,22,85,18,
3,15,1,43,83,
5,14,79,44,29,
47,39,9,53,16,
75,14,78,22,63,
24,28,54,25,3,
2,82,85,52,58,
18,37,77,26,24,
72,46,33,25,58,
56,84,38,68,22,
14,25,10,7,23,
61,16,65,29,13,
31,67,52,12,61,
16,62,83,75,24,
58,25,64,87,26,
19,45,49,27,33,
84,85,9,32,33,
12,52,15,59,85,
74,61,87,77,78,
15,13,75,72,94,
76,79,49,46,81,
74,16,51,43,13,
89,28,86,57,90,
65,62,24,68,93,
27,51,87,22,32,
56,88,85,49,43,
84,18,35,87,15,
24,52,16,54,79,
33,53,25,9,79,
18,25,17,38,24,
28,62,85,55,92,
87,69,61,22,75,
22,84,52,81,78,
52,39,79,72,57,
61,28,78,35,33,
15,68,88,55,74,
82,90,98,14,73,
15,18,47,68,45,
15,64,83,8,61,
14,33,85,27,88,
29,15,18,85,79,
13,55,25,49,43,
72,96,9,77,35,
97,32,3,26,69,
41,24,69,52,16,
61,42,55,83,64,
38,61,64,87,32,
14,26,41,43,45,
34,78,83,23,12,
5,48,50,25,26,
70,13,67,73,89,
33,43,67,7,82,
49,82,35,28,7,
53,52,76,22,56,
16,32,18,26,62,
29,45,82,3,68,
12,44,38,64,58,
86,74,39,35,54,
29,63,74,50,15,
51,53,73,39,55,
22,85,41,44,56,
64,27,73,40,32,
52,73,16,59,76,
48,78,22,52,56,
15,85,44,79,13,
48,24,62,75,36,
81,26,47,64,83,
45,66,42,29,83,
55,76,94,43,74,
55,49,53,81,75,
8,25,72,28,47,
85,22,63,45,35,
13,84,14,81,42,
52,58,56,16,88,
63,15,88,56,28,
88,12,48,34,27,
13,71,18,27,83,
63,14,32,19,55,
54,62,49,74,86,
57,23,87,16,3,
9,35,25,65,4,
66,96,39,3,34,
71,85,58,73,16,
18,52,39,75,14,
25,88,42,63,45,
61,24,56,13,91,
90,67,9,29,14,
56,79,28,26,74,
58,88,90,55,8,
86,13,84,16,22,
26,6,34,67,18,
82,28,76,14,29,
99,78,29,19,42,
46,63,69,71,74,
83,12,5,66,26,
63,44,32,76,79,
48,57,25,45,52,
56,29,3,17,79,
24,43,74,59,72,
14,12,65,7,83,
55,14,75,61,74,
36,64,12,33,41,
76,56,49,15,74,
79,14,62,88,78,
66,43,29,41,12,
58,26,28,72,32,
36,58,19,54,77,
31,2,35,22,38,
2,66,32,43,7,
68,9,38,12,71,
65,68,18,37,97,
26,69,18,14,54,
32,53,57,38,73,
27,88,69,67,89,
86,61,56,84,27,
52,2,16,20,18,
7,63,49,52,69,
66,52,16,55,12,
71,2,24,84,16,
14,39,23,52,37,
79,14,25,75,2,
63,69,44,55,48,
43,39,58,12,14,
33,9,99,68,14,
13,26,59,32,19,
47,17,10,30,60,
43,55,69,14,22,
24,38,40,48,60,
23,74,87,59,95,
63,26,7,82,56,
26,51,74,86,83,
59,56,14,66,81,
34,12,25,75,22,
26,85,66,68,82,
10,57,49,29,16,
95,24,43,86,19,
24,15,88,55,71,
38,28,30,61,32,
36,52,12,30,38,
84,25,75,44,47,
24,27,58,75,62,
14,85,37,77,68,
58,96,65,54,88,
44,36,79,18,43,
23,87,69,31,81,
81,77,83,61,53,
66,51,44,79,29,
33,3,78,23,2,
27,46,19,83,53,
71,36,13,84,39,
72,12,33,92,31,
13,42,55,71,87,
74,15,34,81,59,
64,79,67,32,16,
72,24,16,86,48,
78,90,99,22,28,
15,55,14,33,27,
42,81,37,12,61,
29,24,9,15,47,
61,19,23,64,17,
22,14,53,86,75,
79,59,36,66,14,
22,56,47,78,52,
9,59,15,83,42,
31,9,62,14,44,
14,6,27,64,8,
15,22,86,88,83,
84,18,88,22,44,
65,22,51,14,74,
35,53,64,57,49,
85,15,53,46,59,
49,26,24,19,86,
83,62,44,28,32,
46,19,42,63,85,
55,39,7,32,22,
69,21,45,24,1,
79,49,22,14,43,
29,5,25,12,88,
34,62,54,49,79,
97,4,24,86,79,
12,61,52,75,44,
13,9,38,59,24,
24,83,91,28,16,
62,44,16,85,33,
14,34,72,12,29,
14,27,18,54,56,
88,27,25,7,82,
28,69,65,7,12,
91,89,12,83,86,
77,15,52,38,85,
26,61,22,38,74,
7,37,33,87,62,
71,19,83,65,3,
29,73,90,87,23,
13,62,59,35,8,
9,14,6,86,79,
83,59,17,35,55,
55,78,52,27,25,
15,54,25,23,36,
71,45,74,43,47,
38,18,43,25,69,
84,39,46,92,14,
42,89,78,57,62,
48,57,87,53,84,
18,34,14,63,66,
63,84,25,27,67,
88,62,29,74,35,
48,63,87,69,15,
57,60,36,2,65,
27,86,62,39,42,
45,67,62,58,83,
49,22,15,85,23,
52,77,15,43,85,
76,61,84,11,13,
81,67,52,59,78,
80,48,99,29,87,
24,19,59,48,56,
43,54,27,79,25,
22,59,64,29,46,
32,34,15,50,47,
82,19,48,79,22,
62,14,29,78,75,
68,47,79,15,22,
17,69,58,38,76,
29,68,15,54,85,
42,12,77,74,16,
82,38,65,85,52,
85,26,29,8,46,
22,80,18,59,49,
11,96,23,72,75,
44,23,77,92,71,
44,15,36,39,2,
74,17,72,26,22,
82,12,43,70,58,
82,20,27,16,42,
47,79,49,75,26,
46,48,88,62,38,
53,72,29,12,57,
34,79,31,13,7,
28,61,78,76,56,
75,38,7,15,72,
12,88,34,41,85,
38,67,50,26,44,
9,25,42,17,4,
19,22,83,42,44,
71,86,50,47,55,
18,45,33,49,78,
2,24,49,17,22,
14,33,48,52,19,
71,2,78,44,24,
35,1,21,13,89,
45,16,33,52,32,
23,28,43,41,37,
59,14,29,72,45,
46,79,19,65,83,
54,69,39,7,15,
28,51,25,81,53,
23,89,24,52,9,
29,34,85,82,96,
59,48,18,45,72,
9,3,75,72,26,
15,12,63,48,35,
26,84,52,23,78,
66,46,87,81,15,
29,71,17,43,59,
59,64,83,28,43,
37,16,89,72,58,
17,47,38,63,26,
28,22,15,43,85,
8,81,22,24,85,
44,19,73,33,88,
39,37,75,15,59,
71,42,12,83,53,
49,35,63,76,67,
25,88,23,35,13,
37,79,34,81,67,
56,19,12,82,52,
83,24,5,44,85,
24,54,19,72,28,
54,88,58,82,85,
16,46,9,29,59,
